"","dolphin.disappeared","dolphin.names","dolphin.sex"
"1",0,"Beak","M"
"2",0,"Beescratch","M"
"3",0,"Bumper","M"
"4",0,"CCL","F"
"5",0,"Cross","M"
"6",0,"DN16","F"
"7",0,"DN21","M"
"8",0,"DN63","M"
"9",0,"Double","F"
"10",0,"Feather","M"
"11",0,"Fish","F"
"12",0,"Five","F"
"13",0,"Fork","M"
"14",0,"Gallatin","M"
"15",0,"Grin","F"
"16",0,"Haecksel","M"
"17",0,"Hook","F"
"18",0,"Jet","M"
"19",0,"Jonah","M"
"20",0,"Knit","M"
"21",0,"Kringel","F"
"22",0,"MN105","M"
"23",0,"MN23","M"
"24",0,"MN60","M"
"25",0,"MN83","M"
"26",0,"Mus","M"
"27",0,"Notch","M"
"28",0,"Number1","M"
"29",0,"Oscar","M"
"30",0,"Patchback","M"
"31",0,"PL","M"
"32",0,"Quasi","M"
"33",0,"Ripplefluke","UNKNOWN"
"34",0,"Scabs","F"
"35",0,"Shmuddel","F"
"36",0,"SMN5","M"
"37",1,"SN100","F"
"38",0,"SN4","F"
"39",0,"SN63","F"
"40",0,"SN89","F"
"41",0,"SN9","F"
"42",0,"SN90","M"
"43",0,"SN96","M"
"44",0,"Stripes","F"
"45",0,"Thumper","M"
"46",0,"Topless","M"
"47",0,"TR120","F"
"48",0,"TR77","F"
"49",0,"TR82","UNKNOWN"
"50",0,"TR88","F"
"51",0,"TR99","F"
"52",0,"Trigger","F"
"53",0,"TSN103","F"
"54",0,"TSN83","UNKNOWN"
"55",0,"Upbang","M"
"56",0,"Vau","F"
"57",0,"Wave","F"
"58",0,"Web","M"
"59",0,"Whitetip","F"
"60",0,"Zap","UNKNOWN"
"61",0,"Zig","M"
"62",0,"Zipfel","M"
